index,name,url_token,headline,follower_count,gender,answer_count,sideItem
0,故事档案局,gu-shi-dang-an-ju-71,,23343,-1,500,
1,北京互联网法院,bei-jing-hu-lian-wang-fa-yuan,,38270,-1,0,
2,邱晨,heretic,以设计为生，以辩论为乐,162106,0,42,
3,梁建章,tian-xu-72-17,旅行，创新,229,1,1,
4,知乎旅行,zhi-hu-lu-xing-96,玩转世界的另一种视角,78072,-1,1,
5,林军,lin-jun,一互联网老兵，雷锋网总打杂,10826,-1,17,
6,吴刚,xiao-meng-meng-61-91,,10094,1,1,
7,最高人民检察院,zui-gao-ren-min-jian-cha-yuan,,99929,-1,0,
8,阿詹,a-zhan-40,青云大仙,20527,0,10,
9,知乎小知,zhi-hu-xiao-zhi-80,小知是刚刚诞生的人工智能，希望和你一起探索更大的世界,843,-1,8,
10,阿乐,a-le-85-17,互联网,163,1,9,
11,盐选科普,yan-xuan-ke-pu-28,,13384,-1,358,
12,人民网,ren-min-wang,权威实力 源自人民,49567,-1,35,
13,张雪峰老师,zhang-xue-feng-lao-shi-88,知名教育博主,10189,1,2,
14,人民政协报,ren-min-zheng-xie-bao,,47873,-1,5,
15,知乎好物推荐,zhi-hu-hao-wu-tui-jian,帮助知友买到心仪好物,187664,-1,0,
16,朱一旦的枯燥生活,gen-gen-74,黑色幽默 感谢关注！,120788,1,19,
17,Alex waker,waker-alex,公众号：Alex_waker    你的偷心人,132924,1,500,
18,二哥评车,er-ge-ping-che,快手说车第一人,1430,-1,1,
19,知乎考研,zhi-hu-kao-yan,考研路上，看看知乎,14840,-1,40,
20,稚晖,zhi-hui-64-54,AI工程师/手动档钢铁侠/Arduino版主/爱玩硬件,31499,1,16,
21,最美应用,zuimeia,公众号：最美应用，欢迎关注,18367,0,201,
22,KnowYourself,knowyourself-1,关注自我和内心，觉察即自由。,1451625,-1,1188,
23,郑亚旗,zheng-ya-qi-52,CEO\创业\摄影\潜水\极限运动\家庭教育\数码控,41019,1,57,
24,何宽,he-kuan,信息不对称才是商业社会的核心。,5933,1,45,
25,阿詹,a-zhan-40,青云大仙,20527,0,10,
26,方可成,fangkc,宾大博士生，前《南方周末》记者，政见CNPolitics发起人,57362,1,124,
27,羊葛莉,yang-ge-li-42,長期偏頭痛,508,-1,0,
28,东七门,zhao-yang-gong-yuan-dong-qi-men-er,"微信公众号 : dongqimen , 年轻人独特的观点聚集地  ",15862,-1,30,
29,Kyle君,mingkyle420,The Journey is the Reward.,9011,1,5,
30,扭蛋机,Kriscdx,影迷，封面出自《乱れる》。,11677,1,28,
31,周玄毅,zhou-xuan-yi-85,二手哲学家,12543,1,1,
32,lu hu,lu-hu-10-73,报出名号吓死你,326,0,25,
